User,Client,"Client Type",Date,Duration,"Type Of Call","External Call Score"
"Summer Wright","Luke Ward",Nurse,"2021-08-27 06:42:40",963,Outgoing,37
"Summer Wright","Kirsten Collins",Nurse,"2021-10-16 03:28:45",811,Outgoing,76
"Summer Wright","Justine Owen",Nurse,"2021-08-31 01:09:16",164,Outgoing,77
"Summer Wright","Nick Marshall",Nurse,"2021-10-18 05:27:49",974,Incoming,25
"Summer Wright","Kirsten Collins",Nurse,"2021-08-29 01:53:22",545,Incoming,38
"Summer Wright","Nikki Rogers",Nurse,"2021-08-19 10:28:07",943,Outgoing,74
"Summer Wright","Grant Smith",Nurse,"2021-10-16 07:33:12",33,Outgoing,90
"Summer Wright","Emily Jackson",Carer,"2021-09-03 01:27:09",71,Outgoing,63
"Summer Wright","Elliot Green",Nurse,"2021-10-15 04:07:38",769,Outgoing,14
"Summer Wright","Jamie Ellis",Nurse,"2021-09-14 04:55:58",957,Outgoing,22
"Summer Wright","Steve Powell",Carer,"2021-10-02 10:32:06",211,Outgoing,91
"Summer Wright","Poppy Evans",Carer,"2021-09-04 09:13:56",912,Outgoing,2
"Summer Wright","Mohammed Ross",Carer,"2021-10-06 02:16:25",162,Outgoing,54
"Summer Wright","Freddie Simpson",Carer,"2021-10-03 04:41:19",139,Incoming,20
"Summer Wright","Dan Taylor",Carer,"2021-10-12 02:11:44",564,Outgoing,97
"Summer Wright","Ross Rose",Carer,"2021-09-28 03:11:44",463,Incoming,91
"Summer Wright","Nick Marshall",Nurse,"2021-09-30 03:01:04",290,Outgoing,86
"Summer Wright","Rachel Saunders",Nurse,"2021-09-28 06:43:11",729,Outgoing,94
"Summer Wright","Nikki Rogers",Nurse,"2021-09-05 10:05:39",989,Incoming,7
"Summer Wright","Joe Watson",Carer,"2021-10-13 12:29:01",913,Incoming,88
"Summer Wright","Gordon Clarke",Carer,"2021-08-29 04:19:02",851,Incoming,2
"Summer Wright","Beth Adams",Carer,"2021-09-21 03:47:51",587,Outgoing,59
"Summer Wright","Toby Richardson",Carer,"2021-09-30 08:12:45",995,Outgoing,75
"Summer Wright","Eileen Harrison",Carer,"2021-08-25 11:36:12",908,Outgoing,0
"Summer Wright","Ross Rose",Carer,"2021-08-29 05:15:43",857,Incoming,47
"Summer Wright","Sarah Harrison",Carer,"2021-08-28 04:24:44",774,Outgoing,19
"Summer Wright","Alison Johnson",Carer,"2021-09-12 12:23:37",38,Outgoing,26
"Summer Wright","Dan Taylor",Carer,"2021-10-07 06:39:30",241,Outgoing,2
"Summer Wright","Tiffany Moore",Carer,"2021-10-04 11:28:38",95,Outgoing,17
"Summer Wright","Louis Adams",Carer,"2021-10-10 08:13:01",827,Outgoing,84
"Summer Wright","Louis Adams",Carer,"2021-08-23 07:36:56",64,Outgoing,56
"Summer Wright","Mandy Holmes",Nurse,"2021-10-10 05:24:12",629,Outgoing,19
"Summer Wright","Ken Bell",Nurse,"2021-09-02 03:07:25",980,Incoming,20
"Summer Wright","Sebastian Campbell",Carer,"2021-09-07 03:25:13",823,Outgoing,65
"Summer Wright","Lee Khan",Nurse,"2021-08-27 02:25:45",435,Incoming,65
"Summer Wright","Louis Adams",Carer,"2021-09-03 12:32:18",232,Outgoing,33
"Summer Wright","Andy Graham",Carer,"2021-09-26 01:38:11",465,Outgoing,73
"Summer Wright","Dan Taylor",Carer,"2021-09-12 10:50:22",658,Incoming,8
"Summer Wright","Abigail Matthews",Carer,"2021-09-25 11:44:16",158,Outgoing,9
"Summer Wright","Cameron Patel",Carer,"2021-09-05 11:13:19",689,Incoming,16
"Summer Wright","Toby Richardson",Carer,"2021-09-22 08:04:11",511,Outgoing,62
"Summer Wright","Justine Edwards",Nurse,"2021-09-17 12:35:50",9,Outgoing,67
"Summer Wright","Charlotte Morris",Nurse,"2021-09-15 06:45:15",53,Outgoing,34
"Summer Wright","Greg Mitchell",Carer,"2021-09-02 02:42:12",214,Incoming,35
"Summer Wright","Jodie Green",Nurse,"2021-08-31 03:36:31",878,Outgoing,53
"Summer Wright","Eileen Harrison",Carer,"2021-09-13 11:32:19",596,Incoming,13
"Summer Wright","Emily Jackson",Carer,"2021-08-21 03:54:44",967,Incoming,17
"Summer Wright","Theresa Campbell",Carer,"2021-09-25 11:21:01",482,Outgoing,84
"Summer Wright","Dominic Miller",Carer,"2021-09-06 03:23:54",875,Outgoing,80
"Summer Wright","Lauren Walker",Nurse,"2021-08-22 09:44:11",252,Incoming,76
"Summer Wright","Charlotte Morris",Nurse,"2021-08-21 08:02:46",497,Outgoing,62
"Summer Wright","Molly Phillips",Nurse,"2021-10-09 04:34:27",165,Outgoing,53
"Summer Wright","Sebastian Campbell",Carer,"2021-09-20 10:46:53",828,Outgoing,67
"Summer Wright","Rachel Saunders",Nurse,"2021-10-16 11:52:37",949,Outgoing,16
"Summer Wright","Dan Taylor",Carer,"2021-09-11 10:01:17",846,Outgoing,41
"Summer Wright","Imogen White",Nurse,"2021-09-16 05:30:28",344,Outgoing,24
"Summer Wright","Ross Rose",Carer,"2021-10-09 01:00:38",411,Incoming,58
"Summer Wright","Layla Griffiths",Carer,"2021-09-02 01:21:38",328,Outgoing,100
"Summer Wright","Tim Hughes",Nurse,"2021-09-18 03:30:04",156,Outgoing,77
"Summer Wright","William Holmes",Carer,"2021-08-24 10:08:42",921,Incoming,84
"Summer Wright","Samantha Martin",Nurse,"2021-09-26 08:57:56",918,Incoming,73
"Summer Wright","Matilda Johnson",Carer,"2021-09-29 04:53:40",942,Incoming,48
"Summer Wright","Aaron Lloyd",Carer,"2021-10-12 06:59:41",499,Incoming,32
"Summer Wright","Matilda Johnson",Carer,"2021-10-03 04:43:09",610,Incoming,97
"Summer Wright","Jonathan Thomas",Carer,"2021-09-14 10:20:05",72,Incoming,43
"Summer Wright","Helen Watson",Carer,"2021-09-28 03:29:51",333,Outgoing,51
"Summer Wright","Dennis Bailey",Carer,"2021-09-30 06:52:57",90,Outgoing,80
"Summer Wright","William Holmes",Carer,"2021-09-22 05:58:43",925,Outgoing,61
"Summer Wright","Danielle Bailey",Nurse,"2021-09-07 04:42:47",998,Incoming,11
"Summer Wright","William Holmes",Carer,"2021-09-09 06:23:57",283,Incoming,32
"Summer Wright","Greg Mitchell",Carer,"2021-09-15 09:11:47",574,Incoming,56
"Summer Wright","Matilda Johnson",Carer,"2021-09-22 08:28:41",172,Outgoing,41
"Summer Wright","Nikki Rogers",Nurse,"2021-08-23 12:43:07",654,Outgoing,62
"Summer Wright","Melissa Powell",Nurse,"2021-08-26 01:54:02",546,Outgoing,62
"Summer Wright","Adam Robinson",Carer,"2021-08-25 03:38:41",213,Outgoing,40
"Summer Wright","Abigail Matthews",Carer,"2021-08-23 12:22:34",65,Incoming,100
"Summer Wright","Harrison Lloyd",Nurse,"2021-09-19 11:10:18",871,Incoming,70
"Summer Wright","Leah Robinson",Nurse,"2021-09-15 06:02:41",579,Incoming,93
"Summer Wright","Sasha James",Nurse,"2021-09-25 05:33:21",908,Outgoing,20
"Summer Wright","Caitlin Jones",Carer,"2021-09-11 07:22:42",168,Outgoing,45
"Summer Wright","Kirsten Davies",Nurse,"2021-08-28 08:43:39",789,Outgoing,100
"Summer Wright","William Holmes",Carer,"2021-09-25 11:11:05",352,Incoming,100
"Summer Wright","Sonia Khan",Nurse,"2021-08-23 01:56:06",437,Outgoing,88
"Summer Wright","Danielle Moore",Carer,"2021-08-26 10:26:02",944,Outgoing,98
"Summer Wright","Noah Walker",Carer,"2021-09-29 03:35:26",995,Outgoing,30
"Summer Wright","Tony Harris",Carer,"2021-09-03 09:17:50",435,Outgoing,33
"Summer Wright","Tony Harris",Carer,"2021-10-15 09:40:17",866,Incoming,26
"Summer Wright","Joe Evans",Carer,"2021-09-20 07:10:52",11,Incoming,29
"Summer Wright","Ben Mitchell",Nurse,"2021-08-25 09:38:25",747,Incoming,78
"Summer Wright","Amber James",Nurse,"2021-09-14 12:36:09",216,Incoming,6
"Summer Wright","Victoria Harrison",Nurse,"2021-09-20 02:22:56",578,Outgoing,37
"Summer Wright","Harrison Lloyd",Nurse,"2021-09-29 02:01:51",299,Incoming,9
"Summer Wright","Mary Ward",Nurse,"2021-08-28 10:51:25",335,Incoming,74
"Summer Wright","Matilda Johnson",Carer,"2021-08-27 07:21:38",462,Outgoing,88
"Summer Wright","Jasmine King",Carer,"2021-09-03 08:20:14",898,Outgoing,89
"Summer Wright","Joe Watson",Carer,"2021-08-22 06:35:02",284,Incoming,18
"Summer Wright","Tiffany Moore",Carer,"2021-08-26 04:20:13",768,Incoming,76
"Summer Wright","Lauren Walker",Nurse,"2021-09-24 04:29:22",56,Incoming,84
"Summer Wright","Georgia Shaw",Nurse,"2021-09-27 07:16:26",702,Incoming,65
"Summer Wright","Grant Smith",Nurse,"2021-08-19 02:54:27",79,Outgoing,29
"Summer Wright","Eileen Harrison",Carer,"2021-09-20 11:38:40",195,Incoming,62
"Summer Wright","Louis Adams",Carer,"2021-10-02 06:11:12",155,Incoming,4
"Summer Wright","Nick Marshall",Nurse,"2021-09-28 11:33:02",784,Incoming,96
"Summer Wright","Amy Morris",Nurse,"2021-10-14 09:52:24",538,Incoming,50
"Summer Wright","Nikki Miller",Carer,"2021-10-02 04:33:20",707,Incoming,55
"Summer Wright","Beth Adams",Carer,"2021-09-08 11:06:55",779,Incoming,28
"Summer Wright","Theresa Campbell",Carer,"2021-09-24 03:43:17",607,Incoming,93
"Summer Wright","Benjamin Butler",Carer,"2021-09-23 10:55:33",621,Outgoing,20
"Summer Wright","Harrison Lloyd",Nurse,"2021-10-06 06:58:39",463,Outgoing,68
"Summer Wright","Elliott Murray",Nurse,"2021-09-12 04:42:58",92,Outgoing,66
"Summer Wright","Ross Rose",Carer,"2021-09-04 10:57:40",592,Incoming,52
"Summer Wright","Carlie Stewart",Carer,"2021-08-25 09:02:02",844,Outgoing,66
"Summer Wright","Jasmine King",Carer,"2021-10-14 01:14:06",227,Incoming,87
"Summer Wright","Sasha James",Nurse,"2021-08-24 07:12:34",927,Incoming,58
"Summer Wright","Elliott Murray",Nurse,"2021-10-03 07:11:14",588,Incoming,7
"Summer Wright","Nikki Rogers",Nurse,"2021-09-18 11:40:39",500,Incoming,91
"Summer Wright","Adam Anderson",Carer,"2021-10-01 05:27:49",959,Outgoing,7
"Summer Wright","Caitlin Jones",Carer,"2021-09-11 11:58:59",228,Incoming,55
"Summer Wright","Jeremy Lloyd",Nurse,"2021-09-18 08:30:12",394,Incoming,86
"Summer Wright","Justine Owen",Nurse,"2021-09-09 04:26:12",284,Outgoing,14
"Summer Wright","Joel Richardson",Carer,"2021-08-27 02:55:16",397,Outgoing,75
"Summer Wright","Jonathan Thomas",Carer,"2021-08-29 05:38:25",295,Incoming,49
"Summer Wright","Beth Adams",Carer,"2021-10-16 05:44:10",199,Incoming,93
"Summer Wright","William Holmes",Carer,"2021-09-28 01:52:48",412,Outgoing,81
"Summer Wright","Mandy Holmes",Nurse,"2021-09-10 06:30:42",332,Outgoing,34
"Summer Wright","Gordon Clarke",Carer,"2021-08-26 02:44:07",186,Incoming,43
"Summer Wright","Mandy Holmes",Nurse,"2021-10-06 08:11:19",103,Incoming,41
"Summer Wright","Laura Hill",Carer,"2021-08-22 03:56:26",728,Outgoing,2
"Summer Wright","Beth Adams",Carer,"2021-09-24 03:34:15",36,Incoming,14
"Summer Wright","Beth Adams",Carer,"2021-10-03 01:27:34",74,Outgoing,82
"Summer Wright","Wendy Watson",Carer,"2021-09-10 09:25:45",596,Outgoing,72
"Summer Wright","Wendy Watson",Carer,"2021-09-28 02:03:01",942,Outgoing,43
"Summer Wright","Molly Phillips",Nurse,"2021-10-18 08:47:21",237,Outgoing,42
"Summer Wright","Freddie Simpson",Carer,"2021-10-01 03:47:14",726,Incoming,63
"Summer Wright","William Holmes",Carer,"2021-09-08 01:20:33",657,Outgoing,91
"Summer Wright","Melissa Powell",Nurse,"2021-09-24 10:30:49",778,Outgoing,78
"Summer Wright","Abigail Matthews",Carer,"2021-09-13 06:06:10",798,Outgoing,61
"Summer Wright","Grant Smith",Nurse,"2021-10-13 01:57:13",643,Incoming,22
"Summer Wright","Evelyn Collins",Nurse,"2021-09-06 11:00:18",302,Incoming,91
"Summer Wright","Patrick Walsh",Carer,"2021-09-16 02:46:41",332,Incoming,78
"Summer Wright","Ross Rose",Carer,"2021-09-17 02:59:06",391,Outgoing,44
"Summer Wright","Abigail Matthews",Carer,"2021-09-17 02:13:41",837,Incoming,8
"Summer Wright","Jonathan Thomas",Carer,"2021-09-15 10:39:44",342,Outgoing,24
"Summer Wright","Rachel Saunders",Nurse,"2021-09-17 04:00:35",432,Outgoing,85
"Summer Wright","Helen Watson",Carer,"2021-09-09 01:56:51",123,Incoming,63
"Summer Wright","Helen Watson",Carer,"2021-10-16 07:03:19",188,Incoming,65
"Summer Wright","Mary Ward",Nurse,"2021-09-09 02:35:18",468,Incoming,79
"Summer Wright","Nick Marshall",Nurse,"2021-09-29 06:52:48",278,Outgoing,21
"Summer Wright","Amber James",Nurse,"2021-09-17 11:18:26",934,Incoming,66
"Summer Wright","Pauline Ellis",Carer,"2021-09-09 07:43:03",299,Incoming,76
"Summer Wright","Sebastian Campbell",Carer,"2021-08-20 09:53:05",78,Outgoing,5
"Summer Wright","Lauren Walker",Nurse,"2021-09-22 09:28:26",145,Outgoing,94
"Summer Wright","Jonathan Thomas",Carer,"2021-09-21 06:49:42",857,Outgoing,32
"Summer Wright","Emily Jackson",Carer,"2021-08-26 06:37:07",698,Outgoing,50
"Summer Wright","Eileen Harrison",Carer,"2021-10-04 01:36:13",743,Outgoing,23
"Summer Wright","Isaac Saunders",Nurse,"2021-09-07 01:45:01",18,Outgoing,43
"Summer Wright","Alison Johnson",Carer,"2021-09-08 08:30:31",609,Incoming,84
"Summer Wright","Danielle Bailey",Nurse,"2021-09-13 04:47:26",362,Outgoing,37
"Summer Wright","Pauline Ellis",Carer,"2021-10-08 02:48:48",843,Incoming,47
"Summer Wright","Zach Adams",Nurse,"2021-09-13 02:19:09",689,Outgoing,57
"Summer Wright","Ken Bell",Nurse,"2021-09-09 03:25:28",793,Outgoing,94
"Summer Wright","Theresa Campbell",Carer,"2021-09-16 08:19:55",345,Incoming,93
"Summer Wright","Amber James",Nurse,"2021-09-16 06:55:29",349,Outgoing,70
"Summer Wright","Matilda Johnson",Carer,"2021-10-11 11:24:58",993,Outgoing,68
"Summer Wright","Harrison Stevens",Carer,"2021-09-01 03:24:28",39,Incoming,70
"Summer Wright","Dan Taylor",Carer,"2021-10-10 12:48:36",314,Incoming,40
"Summer Wright","James Clark",Carer,"2021-08-24 05:18:11",34,Incoming,78
"Summer Wright","Alexander Watson",Carer,"2021-08-22 04:56:00",644,Outgoing,0
"Summer Wright","Beth Adams",Carer,"2021-10-18 10:43:44",614,Incoming,11
"Summer Wright","Charlotte Morris",Nurse,"2021-09-29 09:26:19",826,Outgoing,55
"Summer Wright","Imogen White",Nurse,"2021-10-03 09:31:28",577,Outgoing,92
"Summer Wright","Freddie Simpson",Carer,"2021-09-05 11:57:57",269,Outgoing,41
"Summer Wright","Chelsea Carter",Carer,"2021-09-14 09:29:35",665,Outgoing,12
"Summer Wright","Lauren Walker",Nurse,"2021-10-13 01:21:09",815,Outgoing,0
"Summer Wright","Harrison Stevens",Carer,"2021-10-18 03:26:23",217,Incoming,30
"Summer Wright","Noah Walker",Carer,"2021-08-28 07:33:25",389,Incoming,46
"Summer Wright","Pauline Ellis",Carer,"2021-09-13 03:08:54",39,Incoming,87
"Summer Wright","Steve Powell",Carer,"2021-09-14 07:17:20",692,Incoming,24
"Summer Wright","Caitlin Jones",Carer,"2021-10-07 07:58:48",370,Outgoing,28
"Summer Wright","Lauren Walker",Nurse,"2021-09-26 05:56:51",239,Incoming,29
"Summer Wright","Amber James",Nurse,"2021-09-03 07:35:30",864,Incoming,73
"Summer Wright","Archie Parker",Carer,"2021-09-03 09:23:48",1000,Outgoing,96
"Summer Wright","Nikki Miller",Carer,"2021-08-22 11:11:56",326,Outgoing,14
"Summer Wright","Eileen Harrison",Carer,"2021-09-22 10:02:51",312,Outgoing,37
"Summer Wright","Kirsten Davies",Nurse,"2021-10-01 01:20:58",519,Outgoing,27
"Summer Wright","Sasha James",Nurse,"2021-09-06 02:47:23",420,Outgoing,35
"Summer Wright","Patrick Walsh",Carer,"2021-09-11 05:09:24",299,Outgoing,57
"Summer Wright","Elliot Green",Nurse,"2021-09-06 11:01:46",562,Outgoing,31
"Summer Wright","Mary Ward",Nurse,"2021-10-18 03:50:53",535,Outgoing,27
"Summer Wright","Zach Adams",Nurse,"2021-08-31 07:53:32",454,Outgoing,24
"Summer Wright","Evelyn Collins",Nurse,"2021-10-12 02:01:09",365,Incoming,52
"Summer Wright","Tony Harris",Carer,"2021-10-17 07:45:55",909,Incoming,76
"Summer Wright","Adam Anderson",Carer,"2021-08-22 08:29:47",930,Incoming,9
"Summer Wright","Barry Edwards",Nurse,"2021-10-05 10:40:43",813,Outgoing,40
"Summer Wright","Lauren Walker",Nurse,"2021-08-20 08:00:04",578,Incoming,26
"Summer Wright","Adam Anderson",Carer,"2021-09-18 11:38:30",360,Outgoing,11
"Summer Wright","Jasmine King",Carer,"2021-09-08 06:19:54",8,Outgoing,73
"Summer Wright","Luke Ward",Nurse,"2021-09-18 07:08:28",206,Incoming,47
"Summer Wright","Laura Hill",Carer,"2021-09-16 11:36:25",313,Incoming,31
"Summer Wright","Freddie Simpson",Carer,"2021-08-24 08:03:22",510,Incoming,91
"Summer Wright","Becky Smith",Nurse,"2021-08-27 05:56:09",846,Incoming,17
"Summer Wright","Mary Ward",Nurse,"2021-10-19 10:27:31",293,Outgoing,30
"Summer Wright","Laura Hill",Carer,"2021-09-03 11:39:53",397,Incoming,62
"Summer Wright","Jonathan Thomas",Carer,"2021-08-28 07:50:10",819,Incoming,85
"Summer Wright","Lee Khan",Nurse,"2021-09-18 03:06:13",218,Incoming,15
"Summer Wright","Jonathan Thomas",Carer,"2021-09-19 12:05:36",412,Incoming,19
"Summer Wright","Joanne Reid",Nurse,"2021-10-12 04:16:37",699,Outgoing,91
"Summer Wright","Tim Hughes",Nurse,"2021-09-26 10:03:13",906,Outgoing,28
"Summer Wright","Dan Taylor",Carer,"2021-09-29 03:48:06",965,Incoming,9
"Summer Wright","Joanne Reid",Nurse,"2021-09-15 05:22:12",666,Incoming,59
"Summer Wright","Carlie Stewart",Carer,"2021-09-19 06:31:26",862,Outgoing,37
"Summer Wright","Peter Turner",Nurse,"2021-09-20 02:12:55",273,Outgoing,42
"Summer Wright","Selina Palmer",Carer,"2021-09-05 04:23:55",768,Outgoing,3
"Summer Wright","Layla Griffiths",Carer,"2021-08-24 10:07:00",783,Outgoing,72
"Summer Wright","Louis Adams",Carer,"2021-10-01 12:27:01",46,Incoming,51
"Summer Wright","Harrison Stevens",Carer,"2021-10-12 07:23:44",70,Outgoing,11
"Summer Wright","Becky Smith",Nurse,"2021-09-12 10:27:23",736,Outgoing,75
"Summer Wright","Sebastian Campbell",Carer,"2021-08-26 02:41:17",274,Outgoing,93
"Summer Wright","Samantha Martin",Nurse,"2021-09-17 10:19:01",961,Incoming,65
"Summer Wright","Mandy Holmes",Nurse,"2021-10-10 06:44:10",312,Incoming,43
"Summer Wright","Pauline Ellis",Carer,"2021-10-14 08:52:53",268,Outgoing,79
"Summer Wright","Molly Phillips",Nurse,"2021-09-10 08:35:26",991,Outgoing,92
"Summer Wright","Andy Graham",Carer,"2021-08-28 10:19:23",464,Incoming,49
"Summer Wright","Justine Edwards",Nurse,"2021-10-03 09:17:03",64,Incoming,79
"Summer Wright","Isaac Saunders",Nurse,"2021-08-19 03:31:16",675,Incoming,46
"Summer Wright","Greg Mitchell",Carer,"2021-10-10 10:10:29",708,Incoming,19
"Summer Wright","Zach Adams",Nurse,"2021-10-12 12:01:56",190,Outgoing,30
"Summer Wright","Alison Johnson",Carer,"2021-10-17 07:02:17",8444,Incoming,78
"Summer Wright","Eileen Harrison",Carer,"2021-10-18 01:39:43",9104,Outgoing,53
"Summer Wright","Poppy Evans",Carer,"2021-10-17 06:51:14",5693,Outgoing,47
"Summer Wright","Helen Watson",Carer,"2021-10-16 09:16:08",119,Outgoing,45
"Summer Wright","Joanne Reid",Nurse,"2021-10-14 09:20:53",211,Incoming,80
"Summer Wright","Benjamin Butler",Carer,"2021-10-14 09:24:53",512,Incoming,95
"Summer Wright","Jodie Green",Nurse,"2021-10-18 07:31:28",5309,Outgoing,61
"Summer Wright","Lee Khan",Nurse,"2021-10-16 10:32:15",6384,Incoming,45
"Summer Wright","Kirsten Davies",Nurse,"2021-10-12 03:59:42",4506,Incoming,90
"Summer Wright","Jamie Ellis",Nurse,"2021-10-16 04:46:44",4576,Outgoing,43
"Summer Wright","Elliot Green",Nurse,"2021-10-21 02:22:28",3125,Outgoing,93
"Summer Wright","Freddie Simpson",Carer,"2021-10-21 11:19:59",7804,Outgoing,82
"Summer Wright","Mohammed Ross",Carer,"2021-10-13 05:10:04",9384,Incoming,49
"Summer Wright","Amber James",Nurse,"2021-10-16 08:47:32",9589,Incoming,25
"Summer Wright","Zach Adams",Nurse,"2021-10-18 10:11:06",5481,Outgoing,5
"Summer Wright","Aaron Lloyd",Carer,"2021-10-20 12:43:36",8103,Outgoing,65
"Summer Wright","Jasmine King",Carer,"2021-10-18 11:44:33",1647,Incoming,40
"Summer Wright","Jennifer Stevens",Nurse,"2021-10-14 10:27:40",7006,Outgoing,31
"Summer Wright","Laura Hill",Carer,"2021-10-16 10:05:29",9589,Incoming,69
"Summer Wright","James Clark",Carer,"2021-10-20 10:42:31",7319,Incoming,78
"Summer Wright","Wendy Watson",Carer,"2021-10-19 02:08:57",2144,Incoming,45
"Summer Wright","Nikki Rogers",Nurse,"2021-10-19 04:20:52",6717,Outgoing,37
"Summer Wright","Patrick Walsh",Carer,"2021-10-21 08:41:55",5424,Incoming,58
"Summer Wright","Ken Bell",Nurse,"2021-10-18 12:00:16",9296,Incoming,73
"Summer Wright","Benjamin Butler",Carer,"2021-10-17 02:11:33",8078,Outgoing,64
"Summer Wright","Ken Bell",Nurse,"2021-10-12 09:01:09",3488,Outgoing,74
"Summer Wright","Gordon Clarke",Carer,"2021-10-17 02:34:21",5459,Incoming,35
"Summer Wright","Elliot Green",Nurse,"2021-10-14 05:04:59",8095,Incoming,99
"Summer Wright","Benjamin Butler",Carer,"2021-10-19 06:51:39",6735,Outgoing,82
"Summer Wright","Archie Parker",Carer,"2021-10-17 09:18:35",9304,Incoming,80
"Summer Wright","Luke Ward",Nurse,"2021-10-13 08:32:41",8289,Incoming,65
"Summer Wright","Benjamin Butler",Carer,"2021-10-17 03:17:13",4075,Outgoing,75
"Summer Wright","Tiffany Moore",Carer,"2021-10-20 12:19:04",9103,Outgoing,36
"Summer Wright","Selina Palmer",Carer,"2021-10-20 09:18:22",5510,Outgoing,21
"Summer Wright","Ken Bell",Nurse,"2021-10-14 10:49:40",3972,Incoming,32
"Summer Wright","William Holmes",Carer,"2021-10-18 09:31:42",9836,Outgoing,22
"Summer Wright","Georgia Shaw",Nurse,"2021-10-21 01:46:55",9474,Incoming,51
"Summer Wright","Jennifer Stevens",Nurse,"2021-10-20 05:59:48",5189,Incoming,81
"Summer Wright","Sarah Harrison",Carer,"2021-10-17 06:13:40",2433,Outgoing,58
"Summer Wright","Cameron Patel",Carer,"2021-10-12 03:52:27",8723,Outgoing,100
"Summer Wright","Scott Simpson",Nurse,"2021-10-21 10:15:17",5333,Outgoing,66
"Summer Wright","Dominic Miller",Carer,"2021-10-13 09:21:50",5714,Outgoing,61
"Summer Wright","Evelyn Collins",Nurse,"2021-10-19 06:39:53",891,Outgoing,69
